ASG-ITEM-ID,Nombre del Producto/Servicio,Descripción Completa del Producto/Servicio,Precio (Costo Estimado por Unidad),Categoría,Subcategoría,Agencia,Categoria NIGP,Sub-Categoria NIGP,Agencia ID,Modo de Adquisición,ID Articulo,ASG-ITEM-ID,Requisicion Item ID,Licitacion,Marca,Modelo,Garantia,Número de contrato,Núm. de Partida,Renglón
031-02-002-01-0000000058,"Adquisicion Unidad A/C 48,000Btu","Adquisicion Unidad A/C 48,000Btu","$3,890.00",Equipos HVAC,"Aire acondicionado, portátiles o de habitación",Departamento de Hacienda,031,02,002,01,0000000058,031-02-002-01-0000000058,031-02-0000000058,31,Daikin,Aruf,1 Año Serv. Y 1 Año Compresor,19-142-C,8,2
015-25-003-02-0000000148,"Red Ink Cartridge (Production) For Sendpro P/Connect Series Mailing, Systems","Red Ink Cartridge (Production) For Sendpro P/Connect Series Mailing, Systems",$309.99,Tintas y suministros,Tintura para máquinas mimeográficas,Departamento de Seguridad Pública de Puerto Rico,015,25,003,02,0000000148,015-25-003-02-0000000148,015-25-0000000148,15,Pitney Bowes,Sendpro P2000,1 Año,,,
600-60-003-03-0000000144,Fotocopiadora Multifuncional A Color,Fotocopiadora Multifuncional A Color,"$5,864.17",Equipos de oficina,Máquinas multifuncionales de impresión/copiado,Departamento de Seguridad Pública de Puerto Rico,600,60,003,03,0000000144,600-60-003-03-0000000144,600-60-0000000144,600,Ricoh,Im C400F,2 Años,13-54-C,1C,1
015-16-003-04-0000000149,E-Z Seal Sealing Solution 4 Half Gallon Bottles,E-Z Seal Sealing Solution 4 Half Gallon Bottles,$99.99,Productos químicos,Químicos húmedos para copiadoras,Departamento de Seguridad Pública de Puerto Rico,015,16,003,04,0000000149,015-16-003-04-0000000149,015-16-0000000149,15,Pitney Bowes,Sendpro P2000,1 Año,,,
285-37-004-05-0000000019,Start Up Para  Generador Eléctrico Visa K32Sg-Ese,Start Up Para  Generador Eléctrico Visa K32Sg-Ese,$375.00,Generadores eléctricos,"Generadores portátiles, motor a gasolina",Comisión de Juegos del Gobierno de Puerto Rico,285,37,004,05,0000000019,285-37-004-05-0000000019,285-37-0000000019,285,Visa,K32Sg-Ese,2 Años,,,
204-60-005-06-0000000175,Dell Monitor 23.5,Dell Monitor 23.5,$156.33,Microcomputadoras,Monitores color y monocromo,Departamento de Estado,204,60,005,06,0000000175,204-60-005-06-0000000175,204-60-0000000175,204,Dell,Dell 24 P2419H,3 Años,20-299-C,5A,
345-06-005-01-0000000172,Dell Pro Slim Backpack 15'',Dell Pro Slim Backpack 15'',$35.00,Maletines y bolsos,Maletines de computadora / mochilas,Departamento de Estado,345,06,005,01,0000000172,345-06-005-01-0000000172,345-06-0000000172,345,Dell,Dell Pro,1 Año,20-299-C,7A,
207-34-005-02-0000000173,Dell Dock-Wd19,Dell Dock-Wd19,$138.00,Accesorios de computador,Estaciones de acople,Departamento de Estado,207,34,005,02,0000000173,207-34-005-02-0000000173,207-34-0000000173,207,Dell,Dell Dock-Wd19,1 Año,20-299-C,7A,
645-21-002-03-0000000223,Papel Bond Xerografico Tamaño Carta  10 Resmas Por Caja,Papel Bond Xerografico Tamaño Carta  10 Resmas Por Caja,$28.09,Suministros de papel,Papel bond tamaño carta,Departamento de Hacienda,645,21,002,03,0000000223,645-21-002-03-0000000223,645-21-0000000223,645,Executive,Office Gallery,,19-067-C,126,126
200-20-003-04-0000000272,"Camisa Azul Marino 5.11- 71175T Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De 2Xlarge A 5Xlarge","Camisa Azul Marino 5.11- 71175T Con Bordado En El Cuello Que Leabomberos Y Los Logos Del Dsp Y Del Negociado De Bomberos.
Tamaños De 2Xlarge A 5Xlarge",$59.99,Ropa de trabajo,Camisas uniformadas,Departamento de Seguridad Pública de Puerto Rico,200,20,003,04,0000000272,200-20-003-04-0000000272,200-20-0000000272,200,5.11,71175T,,,,
208-50-003-05-0000000130,Programa De Actualizacion Sistema Operativo Maquina Noritsu 380Ig (Propiedad Fp-40258),Programa De Actualizacion Sistema Operativo Maquina Noritsu 380Ig (Propiedad Fp-40258),$495.00,Software informático,Actualización de sistema operativo,Departamento de Seguridad Pública de Puerto Rico,208,50,003,05,0000000130,208-50-003-05-0000000130,208-50-0000000130,208,Noritsu,3801,30 Dias,,,
